z,pT,z_pT,Q2,flavor,flavor_index,nrep,weighted_collins_mean,weighted_collins_std
0.3,0.3165829145728643,0.0949748743718593,4.0,unf,3,50,-0.051481389779938984,0.021575749455416567
0.3,0.32160804020100503,0.0964824120603015,4.0,fav,1,50,0.021542635135525682,0.017931776024298587
0.3,0.32160804020100503,0.0964824120603015,4.0,unf,3,50,-0.052834459813853936,0.02210523859331556
0.3,0.32663316582914576,0.09798994974874373,4.0,fav,1,50,0.022140488660307517,0.01838468275682714
0.3,0.32663316582914576,0.09798994974874373,4.0,unf,3,50,-0.054191947403922455,0.022634047649297787
0.3,0.3316582914572864,0.09949748743718592,4.0,fav,1,50,0.022742937045094277,0.018838310637052023
0.3,0.3316582914572864,0.09949748743718592,4.0,unf,3,50,-0.05555321834424589,0.023161858087810204
0.3,0.33668341708542715,0.10100502512562815,4.0,fav,1,50,0.023349796492424205,0.019292428658906347
0.3,0.33668341708542715,0.10100502512562815,4.0,unf,3,50,-0.05691763945900261,0.023688353485712556
0.3,0.3417085427135678,0.10251256281407034,4.0,fav,1,50,0.023960882616071145,0.01974680635946678
0.3,0.3417085427135678,0.10251256281407034,4.0,unf,3,50,-0.05828457896965587,0.024213219756727602
0.3,0.34673366834170855,0.10402010050251256,4.0,fav,1,50,0.02457601052000848,0.020201213955442207
0.3,0.34673366834170855,0.10402010050251256,4.0,unf,3,50,-0.05965340685897821,0.024736145372842584
0.3,0.35175879396984927,0.10552763819095477,4.0,fav,1,50,0.0251949948771191,0.020655422478568986
0.3,0.35175879396984927,0.10552763819095477,4.0,unf,3,50,-0.061023495231629934,0.025256821582489854
0.3,0.35678391959798994,0.10703517587939698,4.0,fav,1,50,0.02581765000760579,0.02110920390982015
0.3,0.35678391959798994,0.10703517587939698,4.0,unf,3,50,-0.06239421867103747,0.02577494262533016
0.3,0.36180904522613067,0.10854271356783919,4.0,fav,1,50,0.026443789957057328,0.021562331312336317
0.3,0.36180904522613067,0.10854271356783919,4.0,unf,3,50,-0.06376495459231933,0.02629020594347425
0.3,0.36683417085427134,0.1100502512562814,4.0,fav,1,50,0.027073228574125644,0.02201457896298907
0.3,0.36683417085427134,0.1100502512562814,4.0,unf,3,50,-0.065135083591015,0.026802312388976294
0.3,0.37185929648241206,0.11155778894472361,4.0,fav,1,50,0.027705779587770592,0.0224657224824875
0.3,0.37185929648241206,0.11155778894472361,4.0,unf,3,50,-0.06650398978737584,0.027310966427443177
0.3,0.3768844221105528,0.11306532663316583,4.0,fav,1,50,0.02834125668402858,0.02291553896394259
0.3,0.3768844221105528,0.11306532663316583,4.0,unf,3,50,-0.06787106116598282,0.02781587633760584
0.3,0.38190954773869346,0.11457286432160803,4.0,fav,1,50,0.02897947358226321,0.023363807099803572
0.3,0.38190954773869346,0.11457286432160803,4.0,unf,3,50,-0.06923568991046275,0.028316754406704104
0.3,0.3869346733668342,0.11608040201005025,4.0,fav,1,50,0.029620244110855513,0.02381030730708446
