z,pT,z_pT,Q2,flavor,flavor_index,nrep,unpolarized_ff_mean,unpolarized_ff_std
0.3,0.2864321608040201,0.08592964824120604,4.0,unf,3,50,1.5558585696429967,0.03416871481971189
0.3,0.2914572864321608,0.08743718592964823,4.0,fav,1,50,3.4715956653718663,0.10469833400302173
0.3,0.2914572864321608,0.08743718592964823,4.0,unf,3,50,1.5530867766406766,0.03404361413517588
0.3,0.2964824120603015,0.08894472361809046,4.0,fav,1,50,3.464228498306279,0.1042425061478706
0.3,0.2964824120603015,0.08894472361809046,4.0,unf,3,50,1.5502718487712739,0.033916684563103774
0.3,0.30150753768844224,0.09045226130653267,4.0,fav,1,50,3.4567514500864958,0.10378038785632351
0.3,0.30150753768844224,0.09045226130653267,4.0,unf,3,50,1.5474140387699498,0.03378794316699624
0.3,0.3065326633165829,0.09195979899497488,4.0,fav,1,50,3.4491653010825956,0.10331205097974318
0.3,0.3065326633165829,0.09195979899497488,4.0,unf,3,50,1.5445136028969422,0.033657407229617665
0.3,0.31155778894472363,0.09346733668341708,4.0,fav,1,50,3.441470841845604,0.10283756821261437
0.3,0.31155778894472363,0.09346733668341708,4.0,unf,3,50,1.5415708008992746,0.03352509424938696
0.3,0.3165829145728643,0.0949748743718593,4.0,fav,1,50,3.433668872970192,0.10235701307528057
0.3,0.3165829145728643,0.0949748743718593,4.0,unf,3,50,1.5385858959719918,0.03339102193692706
0.3,0.32160804020100503,0.0964824120603015,4.0,fav,1,50,3.4257602049558478,0.10187045989716512
0.3,0.32160804020100503,0.0964824120603015,4.0,unf,3,50,1.5355591547189302,0.033255208211703025
0.3,0.32663316582914576,0.09798994974874373,4.0,fav,1,50,3.417745658066548,0.10137798379994266
0.3,0.32663316582914576,0.09798994974874373,4.0,unf,3,50,1.5324908471130483,0.03311767119819371
0.3,0.3316582914572864,0.09949748743718592,4.0,fav,1,50,3.409626062189005,0.10087966067985152
0.3,0.3316582914572864,0.09949748743718592,4.0,unf,3,50,1.5293812464562933,0.03297842922267968
0.3,0.33668341708542715,0.10100502512562815,4.0,fav,1,50,3.4014022566894635,0.1003755671908625
0.3,0.33668341708542715,0.10100502512562815,4.0,unf,3,50,1.5262306293390495,0.03283750080923101
0.3,0.3417085427135678,0.10251256281407034,4.0,fav,1,50,3.3930750902691456,0.09986578072653149
0.3,0.3417085427135678,0.10251256281407034,4.0,unf,3,50,1.523039275599149,0.0326949046762689
0.3,0.34673366834170855,0.10402010050251256,4.0,fav,1,50,3.3846454208183117,0.0993503794033078
0.3,0.34673366834170855,0.10402010050251256,4.0,unf,3,50,1.5198074682804614,0.03255065973290565
0.3,0.35175879396984927,0.10552763819095477,4.0,fav,1,50,3.3761141152690612,0.09882944204139166
0.3,0.35175879396984927,0.10552763819095477,4.0,unf,3,50,1.5165354935910824,0.032404785075007304
0.3,0.35678391959798994,0.10703517587939698,4.0,fav,1,50,3.367482049446788,0.09830304814822194
0.3,0.35678391959798994,0.10703517587939698,4.0,unf,3,50,1.5132236408611066,0.03225729998175379
0.3,0.36180904522613067,0.10854271356783919,4.0,fav,1,50,3.3587501079204443,0.09777127789975575
0.3,0.36180904522613067,0.10854271356783919,4.0,unf,3,50,1.5098722025000193,0.03210822391159141
0.3,0.36683417085427134,0.1100502512562814,4.0,fav,1,50,3.349919183851587,0.09723421212221935
0.3,0.36683417085427134,0.1100502512562814,4.0,unf,3,50,1.506481473953694,0.031957576498599115
0.3,0.37185929648241206,0.11155778894472361,4.0,fav,1,50,3.3409901788422376,0.09669193227434474
0.3,0.37185929648241206,0.11155778894472361,4.0,unf,3,50,1.503051753661021,0.031805377548541465
0.3,0.3768844221105528,0.11306532663316583,4.0,fav,1,50,3.3319640027816235,0.09614452042856525
0.3,0.3768844221105528,0.11306532663316583,4.0,unf,3,50,1.4995833430101662,0.03165164703500385
0.3,0.38190954773869346,0.11457286432160803,4.0,fav,1,50,3.3228415736918118,0.09559205925320749
0.3,0.38190954773869346,0.11457286432160803,4.0,unf,3,50,1.4960765462944658,0.03149640509571072
0.3,0.3869346733668342,0.11608040201005025,4.0,fav,1,50,3.313623817572294,0.09503463199319447
0.3,0.3869346733668342,0.11608040201005025,4.0,unf,3,50,1.4925316706679874,0.03133967202821083
0.3,0.3919597989949749,0.11758793969849246,4.0,fav,1,50,3.3043116682435323,0.09447232245201831
0.3,0.3919597989949749,0.11758793969849246,4.0,unf,3,50,1.4889490261007317,0.03118146828642331
0.3,0.3969849246231156,0.11909547738693467,4.0,fav,1,50,3.29490606718953,0.0939052149727643
