z,Q2,flavor,flavor_index,nrep,H1perp1_mean,H1perp1_std
0.03954773869346734,4.0,s,5,50,-37.70522296736964,34.617402407697966
0.03954773869346734,4.0,sb,6,50,-37.70522296736964,34.617402407697966
0.03954773869346734,4.0,c,7,50,0.0,0.0
0.03954773869346734,4.0,cb,8,50,0.0,0.0
0.03954773869346734,4.0,b,9,50,0.0,0.0
0.03954773869346734,4.0,bb,10,50,0.0,0.0
0.04447236180904523,4.0,u,1,50,2.7689056506150065,3.5411017469601993
0.04447236180904523,4.0,ub,2,50,-36.00084655399096,31.315489894813478
0.04447236180904523,4.0,d,3,50,-36.00084655399096,31.315489894813478
0.04447236180904523,4.0,db,4,50,2.7689056506150065,3.5411017469601993
0.04447236180904523,4.0,s,5,50,-36.00084655399096,31.315489894813478
0.04447236180904523,4.0,sb,6,50,-36.00084655399096,31.315489894813478
0.04447236180904523,4.0,c,7,50,0.0,0.0
0.04447236180904523,4.0,cb,8,50,0.0,0.0
0.04447236180904523,4.0,b,9,50,0.0,0.0
0.04447236180904523,4.0,bb,10,50,0.0,0.0
0.04939698492462312,4.0,u,1,50,2.945344123485335,3.5459009986462595
0.04939698492462312,4.0,ub,2,50,-34.20840756085202,28.265295007397626
0.04939698492462312,4.0,d,3,50,-34.20840756085202,28.265295007397626
0.04939698492462312,4.0,db,4,50,2.945344123485335,3.5459009986462595
0.04939698492462312,4.0,s,5,50,-34.20840756085202,28.265295007397626
0.04939698492462312,4.0,sb,6,50,-34.20840756085202,28.265295007397626
0.04939698492462312,4.0,c,7,50,0.0,0.0
0.04939698492462312,4.0,cb,8,50,0.0,0.0
0.04939698492462312,4.0,b,9,50,0.0,0.0
0.04939698492462312,4.0,bb,10,50,0.0,0.0
0.05432160804020101,4.0,u,1,50,3.103082104848877,3.5342292547812337
0.05432160804020101,4.0,ub,2,50,-32.372684169032816,25.458301662604693
0.05432160804020101,4.0,d,3,50,-32.372684169032816,25.458301662604693
0.05432160804020101,4.0,db,4,50,3.103082104848877,3.5342292547812337
0.05432160804020101,4.0,s,5,50,-32.372684169032816,25.458301662604693
0.05432160804020101,4.0,sb,6,50,-32.372684169032816,25.458301662604693
0.05432160804020101,4.0,c,7,50,0.0,0.0
0.05432160804020101,4.0,cb,8,50,0.0,0.0
0.05432160804020101,4.0,b,9,50,0.0,0.0
0.05432160804020101,4.0,bb,10,50,0.0,0.0
0.0592462311557789,4.0,u,1,50,3.2423944651819685,3.507662155776862
0.0592462311557789,4.0,ub,2,50,-30.527944965429125,22.8848112417833
0.0592462311557789,4.0,d,3,50,-30.527944965429125,22.8848112417833
0.0592462311557789,4.0,db,4,50,3.2423944651819685,3.507662155776862
0.0592462311557789,4.0,s,5,50,-30.527944965429125,22.8848112417833
0.0592462311557789,4.0,sb,6,50,-30.527944965429125,22.8848112417833
0.0592462311557789,4.0,c,7,50,0.0,0.0
0.0592462311557789,4.0,cb,8,50,0.0,0.0
0.0592462311557789,4.0,b,9,50,0.0,0.0
0.0592462311557789,4.0,bb,10,50,0.0,0.0
0.06417085427135678,4.0,u,1,50,3.3637126361955216,3.4677632067777653
0.06417085427135678,4.0,ub,2,50,-28.700315521897874,20.533842783442115
