x,kT,Q2,flavor,flavor_index,nrep,collins_mean,collins_std
0.01,0.495050505050505,4.0,fav,1,50,8.209500118560334e-05,0.00021858046476167146
0.01,0.495050505050505,4.0,unf,3,50,-0.014076969527236503,0.030593282955791216
0.01,0.5049494949494949,4.0,fav,1,50,8.209418843106402e-05,0.00021857848599014822
0.01,0.5049494949494949,4.0,unf,3,50,-0.014076693103232446,0.03059260171505686
0.01,0.5148484848484849,4.0,fav,1,50,8.209335959526989e-05,0.00021857646806556932
0.01,0.5148484848484849,4.0,unf,3,50,-0.014076411212418524,0.030591907003021997
0.01,0.5247474747474747,4.0,fav,1,50,8.209251467878798e-05,0.00021857441098926486
0.01,0.5247474747474747,4.0,unf,3,50,-0.01407612385513734,0.030591198820620762
0.01,0.5346464646464646,4.0,fav,1,50,8.209165368219625e-05,0.00021857231476259088
0.01,0.5346464646464646,4.0,unf,3,50,-0.014075831031738095,0.03059047716880535
0.01,0.5445454545454546,4.0,fav,1,50,8.209077660608368e-05,0.00021857017938692894
0.01,0.5445454545454546,4.0,unf,3,50,-0.014075532742576618,0.030589742048546094
0.01,0.5544444444444444,4.0,fav,1,50,8.20898834510502e-05,0.00021856800486368664
0.01,0.5544444444444444,4.0,unf,3,50,-0.014075228988015382,0.03058899346083142
0.01,0.5643434343434344,4.0,fav,1,50,8.208897421770682e-05,0.00021856579119429733
0.01,0.5643434343434344,4.0,unf,3,50,-0.014074919768423526,0.030588231406667797
0.01,0.5742424242424242,4.0,fav,1,50,8.208804890667555e-05,0.00021856353838021998
0.01,0.5742424242424242,4.0,unf,3,50,-0.014074605084176779,0.030587455887079822
0.01,0.5841414141414141,4.0,fav,1,50,8.20871075185893e-05,0.00021856124642293938
0.01,0.5841414141414141,4.0,unf,3,50,-0.014074284935657528,0.03058666690311018
0.01,0.594040404040404,4.0,fav,1,50,8.208615005409194e-05,0.00021855891532396627
0.01,0.594040404040404,4.0,unf,3,50,-0.014073959323254797,0.030585864455819598
0.01,0.6039393939393939,4.0,fav,1,50,8.20851765138385e-05,0.0002185565450848371
0.01,0.6039393939393939,4.0,unf,3,50,-0.014073628247364234,0.03058504854628695
0.01,0.6138383838383838,4.0,fav,1,50,8.208418689849483e-05,0.00021855413570711385
0.01,0.6138383838383838,4.0,unf,3,50,-0.0140732917083881,0.03058421917560913
0.01,0.6237373737373737,4.0,fav,1,50,8.20831812087379e-05,0.00021855168719238455
0.01,0.6237373737373737,4.0,unf,3,50,-0.01407294970673533,0.030583376344901166
0.01,0.6336363636363637,4.0,fav,1,50,8.208215944525547e-05,0.000218549199542263
0.01,0.6336363636363637,4.0,unf,3,50,-0.014072602242821452,0.03058252005529609
0.01,0.6435353535353535,4.0,fav,1,50,8.208112160874653e-05,0.00021854667275838849
0.01,0.6435353535353535,4.0,unf,3,50,-0.014072249317068655,0.030581650307945057
0.01,0.6534343434343434,4.0,fav,1,50,8.208006769992086e-05,0.00021854410684242639
0.01,0.6534343434343434,4.0,unf,3,50,-0.014071890929905722,0.030580767104017283
0.01,0.6633333333333333,4.0,fav,1,50,8.207899771949938e-05,0.00021854150179606766
0.01,0.6633333333333333,4.0,unf,3,50,-0.014071527081768079,0.030579870444700036
0.01,0.6732323232323232,4.0,fav,1,50,8.207791166821384e-05,0.00021853885762102907
0.01,0.6732323232323232,4.0,unf,3,50,-0.014071157773097785,0.030578960331198668
0.01,0.6831313131313131,4.0,fav,1,50,8.207680954680706e-05,0.000218536174319053
0.01,0.6831313131313131,4.0,unf,3,50,-0.014070783004343515,0.030578036764736572
0.01,0.693030303030303,4.0,fav,1,50,8.207569135603285e-05,0.0002185334518919079
0.01,0.693030303030303,4.0,unf,3,50,-0.014070402775960573,0.030577099746555196
0.01,0.702929292929293,4.0,fav,1,50,8.207455709665598e-05,0.00021853069034138763
0.01,0.702929292929293,4.0,unf,3,50,-0.014070017088410882,0.030576149277914084
0.01,0.7128282828282828,4.0,fav,1,50,8.207340676945214e-05,0.00021852788966931206
0.01,0.7128282828282828,4.0,unf,3,50,-0.014069625942163006,0.030575185360090754
0.01,0.7227272727272727,4.0,fav,1,50,8.20722403752081e-05,0.0002185250498775266
0.01,0.7227272727272727,4.0,unf,3,50,-0.014069229337692097,0.03057420799438087
0.01,0.7326262626262626,4.0,fav,1,50,8.207105791472149e-05,0.0002185221709679025
0.01,0.7326262626262626,4.0,unf,3,50,-0.01406882727547996,0.030573217182098076
0.01,0.7425252525252525,4.0,fav,1,50,8.206985938880108e-05,0.0002185192529423368
0.01,0.7425252525252525,4.0,unf,3,50,-0.014068419756014998,0.030572212924574085
0.01,0.7524242424242424,4.0,fav,1,50,8.206864479826642e-05,0.00021851629580275223
0.01,0.7524242424242424,4.0,unf,3,50,-0.014068006779792258,0.030571195223158633
0.01,0.7623232323232323,4.0,fav,1,50,8.206741414394817e-05,0.00021851329955109724
0.01,0.7623232323232323,4.0,unf,3,50,-0.01406758834731337,0.030570164079219513
0.01,0.7722222222222221,4.0,fav,1,50,8.206616742668791e-05,0.00021851026418934582
0.01,0.7722222222222221,4.0,unf,3,50,-0.014067164459086597,0.03056911949414255
0.01,0.7821212121212121,4.0,fav,1,50,8.20649046473382e-05,0.00021850718971949817
0.01,0.7821212121212121,4.0,unf,3,50,-0.014066735115626845,0.03056806146933158
0.01,0.792020202020202,4.0,fav,1,50,8.206362580676263e-05,0.00021850407614357978
0.01,0.792020202020202,4.0,unf,3,50,-0.014066300317455585,0.030566990006208505
0.01,0.8019191919191919,4.0,fav,1,50,8.206233090583558e-05,0.00021850092346364203
0.01,0.8019191919191919,4.0,unf,3,50,-0.014065860065100936,0.03056590510621321
0.01,0.8118181818181818,4.0,fav,1,50,8.206101994544262e-05,0.00021849773168176203
0.01,0.8118181818181818,4.0,unf,3,50,-0.014065414359097615,0.03056480677080362
0.01,0.8217171717171717,4.0,fav,1,50,8.205969292648012e-05,0.00021849450080004253
0.01,0.8217171717171717,4.0,unf,3,50,-0.014064963199986952,0.0305636950014557
0.01,0.8316161616161616,4.0,fav,1,50,8.205834984985555e-05,0.00021849123082061207
0.01,0.8316161616161616,4.0,unf,3,50,-0.014064506588316896,0.030562569799663406
0.01,0.8415151515151514,4.0,fav,1,50,8.205699071648716e-05,0.00021848792174562485
0.01,0.8415151515151514,4.0,unf,3,50,-0.014064044524642005,0.03056143116693869
0.01,0.8514141414141414,4.0,fav,1,50,8.205561552730438e-05,0.00021848457357726082
0.01,0.8514141414141414,4.0,unf,3,50,-0.014063577009523417,0.030560279104811554
0.01,0.8613131313131313,4.0,fav,1,50,8.205422428324742e-05,0.00021848118631772562
0.01,0.8613131313131313,4.0,unf,3,50,-0.01406310404352892,0.030559113614829974
0.01,0.8712121212121212,4.0,fav,1,50,8.205281698526763e-05,0.00021847775996925055
0.01,0.8712121212121212,4.0,unf,3,50,-0.014062625627232874,0.030557934698559944
0.01,0.8811111111111111,4.0,fav,1,50,8.205139363432711e-05,0.00021847429453409264
0.01,0.8811111111111111,4.0,unf,3,50,-0.014062141761216259,0.03055674235758543
0.01,0.891010101010101,4.0,fav,1,50,8.204995423139908e-05,0.0002184707900145346
0.01,0.891010101010101,4.0,unf,3,50,-0.014061652446066646,0.030555536593508452
0.01,0.9009090909090909,4.0,fav,1,50,8.204849877746762e-05,0.0002184672464128849
0.01,0.9009090909090909,4.0,unf,3,50,-0.01406115768237823,0.030554317407948953
0.01,0.9108080808080807,4.0,fav,1,50,8.204702727352785e-05,0.00021846366373147764
0.01,0.9108080808080807,4.0,unf,3,50,-0.014060657470751789,0.030553084802544882
0.01,0.9207070707070707,4.0,fav,1,50,8.204553972058577e-05,0.00021846004197267256
0.01,0.9207070707070707,4.0,unf,3,50,-0.014060151811794685,0.030551838778952213
0.01,0.9306060606060605,4.0,fav,1,50,8.204403611965835e-05,0.00021845638113885516
0.01,0.9306060606060605,4.0,unf,3,50,-0.014059640706120922,0.030550579338844825
0.01,0.9405050505050505,4.0,fav,1,50,8.204251647177359e-05,0.00021845268123243657
0.01,0.9405050505050505,4.0,unf,3,50,-0.014059124154351073,0.03054930648391464
0.01,0.9504040404040404,4.0,fav,1,50,8.204098077797032e-05,0.0002184489422558536
0.01,0.9504040404040404,4.0,unf,3,50,-0.014058602157112294,0.030548020215871538
0.01,0.9603030303030302,4.0,fav,1,50,8.203942903929836e-05,0.00021844516421156877
0.01,0.9603030303030302,4.0,unf,3,50,-0.014058074715038362,0.03054672053644335
0.01,0.9702020202020202,4.0,fav,1,50,8.203786125681851e-05,0.0002184413471020702
0.01,0.9702020202020202,4.0,unf,3,50,-0.01405754182876964,0.03054540744737584
0.01,0.98010101010101,4.0,fav,1,50,8.203627743160252e-05,0.0002184374909298717
0.01,0.98010101010101,4.0,unf,3,50,-0.014057003498953068,0.030544080950432817
0.01,0.99,4.0,fav,1,50,8.203467756473302e-05,0.00021843359569751278
0.01,0.99,4.0,unf,3,50,-0.0140564597262422,0.030542741047395988
0.0198989898989899,0.01,4.0,fav,1,50,0.0005477571202944892,0.0010273987004601204
0.0198989898989899,0.01,4.0,unf,3,50,-0.05483912286185318,0.09124589187309295
0.0198989898989899,0.0198989898989899,4.0,fav,1,50,0.0005477564275683522,0.001027397383904122
0.0198989898989899,0.0198989898989899,4.0,unf,3,50,-0.05483899696693784,0.09124564841545618
0.0198989898989899,0.029797979797979796,4.0,fav,1,50,0.0005477552761474503,0.0010273951955794569
0.0198989898989899,0.029797979797979796,4.0,unf,3,50,-0.054838787709841984,0.09124524375084701
0.0198989898989899,0.039696969696969696,4.0,fav,1,50,0.0005477536660351746,0.0010273921354934362
